;;;PT. Dream Dare Discover;;;;;;;;;;
;;;Kuantitas Barang per Gudang;;;;;;;;;;
;;;Per Tgl. 19 Jan 2026;;;;;;;;;;
;;;"Cabang : Kantor Pusat, BALI AREA, Baby, Jakarta, Jawa Timur, Lombok, NTT, Online, Sulawesi, Sumatera, Gudang : Warehouse Bali ...";;;;;;;;;;
Nama Barang;;Kode Barang;;Warehouse Bali Gatsu - Box;Warehouse Bali Gatsu - Protol;Warehouse Bali Gatsu Reject;Warehouse Pluit;Warehouse Pluit Reject;Warehouse Pusat;Warehouse Pusat Protol;Warehouse Pusat Reject;;Total Nama Gudang
"BABY GIRLS PRINCESS ARIEL 3, 25/26, GREEN";;Z2PS03Z26;;0;0;0;0;0;-7;7;1;;1
"BABY GIRLS PRINCESS BELLE 2, 21/22, YELLOW";;Z2PS02Z22;;0;0;0;0;0;0;0;5;;5
"BABY GIRLS PRINCESS BELLE 2, 23/24, YELLOW";;Z2PS02Z24;;0;0;0;0;0;0;1;5;;6
"BABY GIRLS PRINCESS BELLE 2, 25/26, YELLOW";;Z2PS02Z26;;0;0;0;-1;0;0;0;2;;1
"BABY GIRLS PRINCESS CINDERELLA 4, 21/22, BLUE";;Z2PS04Z22;;0;0;0;0;0;0;7;7;;14
"BABY GIRLS PRINCESS CINDERELLA 4, 23/24, BLUE";;Z2PS04Z24;;0;0;0;0;0;0;1;3;;4
"BABY GIRLS PRINCESS CINDERELLA 4, 25/26, BLUE";;Z2PS04Z26;;0;0;0;0;0;0;1;0;;1
"BABY GIRLS PRINCESS SNOW WHITE 1, 21/22, RED";;Z2PS01Z22;;0;0;4;0;0;-4;63;6;;69
"BABY GIRLS PRINCESS SNOW WHITE 1, 23/24, RED";;Z2PS01Z24;;0;0;1;-13;0;-5;42;0;;25
"BABY GIRLS PRINCESS SNOW WHITE 1, 25/26, RED";;Z2PS01Z26;;0;0;0;-19;0;-3;4;0;;-18
"BABY LOTSO 1, 21/22, PINK BERRY";;Z2LS01Z22;;0;0;0;20;0;748;8;0;;776
"BABY LOTSO 1, 23/24, PINK BERRY";;Z2LS01Z24;;0;0;0;25;0;935;5;0;;965
"BABY LOTSO 1, 25/26, PINK BERRY";;Z2LS01Z26;;0;0;0;18;0;561;6;0;;585
"BABY POOH 1, 21/22, MOCHA";;Z2PH01Z22;;0;0;0;4;0;544;20;0;;568
"BABY POOH 1, 23/24, MOCHA";;Z2PH01Z24;;0;0;0;3;0;680;25;0;;708
"BABY POOH 1, 25/26, MOCHA";;Z2PH01Z26;;0;0;0;3;0;408;15;0;;426
"BABY POOH 2, 21/22, SOFT PINK";;Z2PH02Z22;;0;0;0;1;0;-16;16;0;;1
"BABY POOH 2, 23/24, SOFT PINK";;Z2PH02Z24;;0;0;0;9;0;-20;19;0;;8
"BABY POOH 2, 25/26, SOFT PINK";;Z2PH02Z26;;0;0;0;3;0;-12;12;0;;3
"BABY POOH 3, 21/22, ORANGE BEIGE";;Z2PH03Z22;;0;0;0;15;0;284;12;0;;311
"BABY POOH 3, 23/24, ORANGE BEIGE";;Z2PH03Z24;;0;0;0;14;0;355;15;0;;384
"BABY POOH 3, 25/26, ORANGE BEIGE";;Z2PH03Z26;;0;0;0;8;0;213;9;0;;230
"BABY UNI COLLAB WBB 1, 21, BLUE NAVY";;BB3BZ21CL3;;0;0;0;0;0;0;0;9;;9
"BABY UNI COLLAB WBB 1, 21/22, BLUE NAVY";;Z2WB01Z21;;0;0;0;0;0;0;7;12;;19
"BABY UNI COLLAB WBB 1, 22, BLUE NAVY";;BB3BZ22CL3;;0;0;0;0;0;0;0;7;;7
"BABY UNI COLLAB WBB 1, 23, BLUE NAVY";;BB3BZ23CL3;;0;0;0;0;0;0;0;13;;13
"BABY UNI COLLAB WBB 1, 23/24, BLUE NAVY";;Z2WB01Z23;;0;0;0;0;0;0;6;10;;16
"BABY UNI COLLAB WBB 1, 24, BLUE NAVY";;BB3BZ24CL3;;0;0;0;0;2;0;0;14;;16
"BABY UNI COLLAB WBB 1, 25, BLUE NAVY";;BB3BZ25CL3;;0;0;0;0;1;0;0;4;;5
"BABY UNI COLLAB WBB 1, 25/26, BLUE NAVY";;Z2WB01Z25;;0;0;0;0;0;0;1;6;;7
"BABY UNI COLLAB WBB 2, 21/22, GREY NAVY";;Z2WB02Z21;;0;0;0;0;0;0;18;19;;37
"BABY UNI COLLAB WBB 2, 23/24, GREY NAVY";;Z2WB02Z23;;0;0;0;0;0;0;9;8;;17
"BABY UNI COLLAB WBB 2, 25/26, GREY NAVY";;Z2WB02Z25;;0;0;0;0;0;0;11;10;;21
