DATABASE KODE SKU,,3,4,5,6,7,8,9,10,11
,,,,,,,,,,
Kode Variant(*),Kode(*),Japit Fashion,Nama Barang,Nama Variant(*),Ukuran(*),Tier,Gender,Seri,Series,Version
BB2BZ23CL1,BB2BZCL1,Fashion,BABY GIRLS COLLAB 1 PINK,"BABY GIRLS COLLAB 1, 23, PINK",23,2,BABY,MINNIE,MINNIE,V1
BB2BZ24CL1,BB2BZCL1,Fashion,BABY GIRLS COLLAB 1 PINK,"BABY GIRLS COLLAB 1, 24, PINK",24,2,BABY,MINNIE,MINNIE,V1
BB2BZ25CL1,BB2BZCL1,Fashion,BABY GIRLS COLLAB 1 PINK,"BABY GIRLS COLLAB 1, 25, PINK",25,2,BABY,MINNIE,MINNIE,V1
BB3BZ21CL4,BB3BZCL4,Jepit,BABY UNI COLLAB WBB 2 GREY NAVY,"BABY UNI COLLAB WBB 2, 21, GREY NAVY",21,2,BABY,WBB,WBB,V1
BB3BZ22CL4,BB3BZCL4,Jepit,BABY UNI COLLAB WBB 2 GREY NAVY,"BABY UNI COLLAB WBB 2, 22, GREY NAVY",22,2,BABY,WBB,WBB,V1
BB3BZ23CL4,BB3BZCL4,Jepit,BABY UNI COLLAB WBB 2 GREY NAVY,"BABY UNI COLLAB WBB 2, 23, GREY NAVY",23,2,BABY,WBB,WBB,V1
BB3BZ24CL4,BB3BZCL4,Jepit,BABY UNI COLLAB WBB 2 GREY NAVY,"BABY UNI COLLAB WBB 2, 24, GREY NAVY",24,2,BABY,WBB,WBB,V1
BB3BZ25CL4,BB3BZCL4,Jepit,BABY UNI COLLAB WBB 2 GREY NAVY,"BABY UNI COLLAB WBB 2, 25, GREY NAVY",25,2,BABY,WBB,WBB,V1
SJ1K03CL1,SJ1KCL1,Jepit,BOYS COLLAB 1 ZUMA X GUDETAMA BLACK,"BOYS COLLAB 1, 29/30, ZUMA X GUDETAMA BLACK",29/30,5,BOYS,COLLAB,GUDETAMA,V1
SJ1K04CL1,SJ1KCL1,Jepit,BOYS COLLAB 1 ZUMA X GUDETAMA BLACK,"BOYS COLLAB 1, 31/32, ZUMA X GUDETAMA BLACK",31/32,5,BOYS,COLLAB,GUDETAMA,V1
SJ1K05CL1,SJ1KCL1,Jepit,BOYS COLLAB 1 ZUMA X GUDETAMA BLACK,"BOYS COLLAB 1, 33/34, ZUMA X GUDETAMA BLACK",33/34,5,BOYS,COLLAB,GUDETAMA,V1
SJ1K06CL1,SJ1KCL1,Jepit,BOYS COLLAB 1 ZUMA X GUDETAMA BLACK,"BOYS COLLAB 1, 35/36, ZUMA X GUDETAMA BLACK",35/36,5,BOYS,COLLAB,GUDETAMA,V1
B2CL10Z29,B2CL10,Jepit,BOYS COLLAB 10 DISNEY MICKEY LAVA,"BOYS COLLAB 10, 29/30, DISNEY MICKEY LAVA",29/30,3,BOYS,MICKEYV1,MICKEY,V1
