;;CV MAKMUR BESAR BERSAMA;;;;;;;;
;;Kuantitas Barang per Gudang;;;;;;;;
;;Per Tgl. 19 Jan 2026;;;;;;;;
;;"Cabang : Kantor Pusat, Baby, Bali Area, Jakarta, Jawa Timur, Lombok NTT, NTT, Online, Papua, Gudang : Warehouse Jakarta, Ware ...";;;;;;;;
Nama Barang;;;Kode Barang;Warehouse Bali Gatsu - Box;Warehouse Bali Gatsu - Protolan;Warehouse Jakarta;Warehouse Pusat;Warehouse Pusat Reject;Total Nama Gudang;
"BABY COCOMELON 2, 25/26, RED GREEN";;;Z2CM02Z26;"-18,";"-3,";"0,";"0,";"0,";"-21,";
;;;Total Kode Barang;"-18,";"-3,";"0,";"0,";"0,";"-21,";
"BABY COCOMELON 3, 21/22, BLUE YELLOW";;;Z2CM03Z22;"0,";"-1,";"-4,";"0,";"0,";"-5,";
;;;Total Kode Barang;"0,";"-1,";"-4,";"0,";"0,";"-5,";
"BABY COCOMELON 3, 23/24, BLUE YELLOW";;;Z2CM03Z24;"0,";"-2,";"-5,";"0,";"0,";"-7,";
;;;Total Kode Barang;"0,";"-2,";"-5,";"0,";"0,";"-7,";
"BABY COCOMELON 3, 25/26, BLUE YELLOW";;;Z2CM03Z26;"0,";"-1,";"-3,";"0,";"0,";"-4,";
;;;Total Kode Barang;"0,";"-1,";"-3,";"0,";"0,";"-4,";
"BABY DISNEY MICKEY 1, 21/22, RED";;;Z2DM01Z22;"-20,";"0,";"-8,";"0,";"0,";"-28,";
;;;Total Kode Barang;"-20,";"0,";"-8,";"0,";"0,";"-28,";
"BABY DISNEY MICKEY 1, 23/24, RED";;;Z2DM01Z24;"-25,";"0,";"-10,";"0,";"0,";"-35,";
;;;Total Kode Barang;"-25,";"0,";"-10,";"0,";"0,";"-35,";
"BABY DISNEY MICKEY 1, 25/26, RED";;;Z2DM01Z26;"-15,";"0,";"-6,";"0,";"0,";"-21,";
;;;Total Kode Barang;"-15,";"0,";"-6,";"0,";"0,";"-21,";
"BABY DISNEY MICKEY 2, 21/22, NAVY";;;Z2DM02Z22;"-28,";"-4,";"-48,";"-176,";"0,";"-256,";
;;;Total Kode Barang;"-28,";"-4,";"-48,";"-176,";"0,";"-256,";
"BABY DISNEY MICKEY 2, 23/24, NAVY";;;Z2DM02Z24;"-35,";"-4,";"-60,";"-220,";"0,";"-319,";
;;;Total Kode Barang;"-35,";"-4,";"-60,";"-220,";"0,";"-319,";
"BABY DISNEY MICKEY 2, 25/26, NAVY";;;Z2DM02Z26;"-21,";"-1,";"-36,";"-132,";"0,";"-190,";
